code	trading_date	basic_price	ceiling_price	floor_price	open_price	highest_price	lowest_price	average_price	close_price	nm_total_traded_qtty	nm_total_traded_value
SD9	2016-04-21T00:00:00+07:00	12300	13500	11100	11900	12300	11900		12300	27590	338325000
SDA	2016-04-21T00:00:00+07:00	5400	5900	4900	5100	5300	5100		5200	10948	57094800
SDC	2016-04-21T00:00:00+07:00	12300	13500	11100	0	0	0		12300	0	0
SDD	2016-04-21T00:00:00+07:00	2600	2800	2400	2500	2500	2400		2400	56900	136610000
SDE	2016-04-21T00:00:00+07:00	2200	2400	2000	2100	2100	2100		2100	100	210000
SDG	2016-04-21T00:00:00+07:00	18100	19900	16300	0	0	0		18100	0	0
SDH	2016-04-21T00:00:00+07:00	2700	2900	2500	2600	2800	2600		2800	62400	167390000
SDN	2016-04-21T00:00:00+07:00	28100	30900	25300	25400	25400	25400		25400	500	12700000
SDP	2016-04-21T00:00:00+07:00	4100	4500	3700	4500	4500	4400		4400	5000	22240000
SDT	2016-04-21T00:00:00+07:00	10700	11700	9700	10600	10700	10500		10700	87600	927500000
SDU	2016-04-21T00:00:00+07:00	10600	11600	9600	10600	10600	10400		10400	19000	197790000
SDY	2016-04-21T00:00:00+07:00	8100	8900	7300	0	0	0		8100	0	0
SEB	2016-04-21T00:00:00+07:00	27000	29700	24300	0	0	0		27000	0	0
SED	2016-04-21T00:00:00+07:00	18300	20100	16500	0	0	0		18300	0	0
SFN	2016-04-21T00:00:00+07:00	18100	19900	16300	19800	19800	19000		19000	8200	161210000
SGC	2016-04-21T00:00:00+07:00	36000	39600	32400	32400	39600	32400		39600	1200	46800000
SGD	2016-04-21T00:00:00+07:00	8700	9500	7900	9000	9100	9000		9100	600	5440000
SGH	2016-04-21T00:00:00+07:00	25500	28000	23000	0	0	0		25500	0	0
SGO	2016-04-21T00:00:00+07:00	4400	4800	4000	4400	4500	4300		4400	404000	1774040000
SHA	2016-04-21T00:00:00+07:00	10500	11500	9500	10400	10600	10400		10500	259550	2728360000
SHB	2016-04-21T00:00:00+07:00	6400	7000	5800	6400	6400	6300		6300	561408	3541482600
SHN	2016-04-21T00:00:00+07:00	11600	12700	10500	11600	11800	11500		11800	488500	5700580000
SHS	2016-04-21T00:00:00+07:00	7100	7800	6400	7000	7200	7000		7000	356000	2514200000
SIC	2016-04-21T00:00:00+07:00	9300	10200	8400	0	0	0		9300	0	0
SJ1	2016-04-21T00:00:00+07:00	19900	21800	18000	19900	20100	19900		20100	600	11980000
SJC	2016-04-21T00:00:00+07:00	6500	7100	5900	0	0	0		6500	0	0
SJE	2016-04-21T00:00:00+07:00	37100	40800	33400	37000	37200	37000		37100	6100	226210000
SLS	2016-04-21T00:00:00+07:00	76000	83600	68400	76000	83600	76000		83000	23200	1863060000
SMN	2016-04-21T00:00:00+07:00	9600	10500	8700	0	0	0		9600	0	0
SMT	2016-04-21T00:00:00+07:00	24800	27200	22400	25700	25700	23000		25000	500	12180000
SPI	2016-04-21T00:00:00+07:00	5200	5700	4700	4700	5000	4700		4700	905800	4323010000
SPP	2016-04-21T00:00:00+07:00	10000	11000	9000	0	0	0		10000	0	0
SQC	2016-04-21T00:00:00+07:00	81000	89100	72900	0	0	0		81000	0	0
SRA	2016-04-21T00:00:00+07:00	1600	1700	1500	0	0	0		1600	0	0
SRB	2016-04-21T00:00:00+07:00	1800	1900	1700	1800	1900	1800		1900	600	1090000
SSM	2016-04-21T00:00:00+07:00	14900	16300	13500	14900	15200	14900		15000	9000	134610000
STC	2016-04-21T00:00:00+07:00	20000	22000	18000	0	0	0		20000	0	0
STP	2016-04-21T00:00:00+07:00	7200	7900	6500	0	0	0		7200	0	0
SVN	2016-04-21T00:00:00+07:00	3700	4000	3400	3700	3700	3500		3700	187400	669250000
TA9	2016-04-21T00:00:00+07:00	29400	32300	26500	29900	30300	29600		30300	5900	176030000
TAG	2016-04-21T00:00:00+07:00	24000	26400	21600	26100	26400	24000		26400	1900	47490000
TBX	2016-04-21T00:00:00+07:00	10300	11300	9300	0	0	0		10300	0	0
TC6	2016-04-21T00:00:00+07:00	12500	13700	11300	12400	12700	12400		12400	24600	305210000
TCS	2016-04-21T00:00:00+07:00	8200	9000	7400	8700	8700	8700		8700	100	870000
