source	ticker	market	date	yyyymmdd	shli	shou	shfn	pref	pcei	pflr	popn	phgh	plow	pbase	pavg	pcls	vlm	trn	adj_pcls	adj_coeff
EXC	PXI	HSX	2016/04/21	20160421				5300	5600	5000	5300	5400	5200		5270	5300	72120	380420000		
EXC	PXL	HSX	2016/04/21	20160421				1600	1700	1500	1700	1700	1600		1610	1700	133390	214740000		
EXC	PXS	HSX	2016/04/21	20160421				12600	13400	11800	12900	13300	12900		13080	13200	617780	8079460000		
EXC	PXT	HSX	2016/04/21	20160421				4900	5200	4600	5200	5200	5000		5100	5000	533250	2718610000		
EXC	QBS	HSX	2016/04/21	20160421				7100	7500	6700	7100	7300	7100		7180	7100	681470	4891150000		
EXC	QCG	HSX	2016/04/21	20160421				4600	4900	4300	4600	4700	4600		4620	4600	88690	409890000		
EXC	RAL	HSX	2016/04/21	20160421				80000	85500	74500	80000	80000	78500		79450	79500	14340	1139290000		
EXC	RDP	HSX	2016/04/21	20160421				29700	31700	27700	29700	30000	29300		29390	29800	5660	166350000		
EXC	REE	HSX	2016/04/21	20160421				22800	24300	21300	22800	23000	22800		22910	23000	141050	3231220000		
EXC	RIC	HSX	2016/04/21	20160421				9100	9700	8500	9700	9700	9700		9700	9700	10	100000		
EXC	SAM	HSX	2016/04/21	20160421				9300	9900	8700	9300	9300	9200		9270	9300	265060	2457600000		
EXC	SAV	HSX	2016/04/21	20160421				9200	9800	8600	9800	9800	9500		9510	9500	320	3040000		
EXC	SBA	HSX	2016/04/21	20160421				9400	10000	8800	9400	9500	9400		9400	9500	13810	129820000		
EXC	SBT	HSX	2016/04/21	20160421				31800	34000	29600	31700	32500	31300		31760	32500	1258660	39971050000		
EXC	SC5	HSX	2016/04/21	20160421				25900	27700	24100	25100	25500	25000		25080	25000	2600	65210000		
EXC	SCD	HSX	2016/04/21	20160421				47500	50500	44200	48500	49800	48500		48810	49000	170	8300000		
EXC	SFC	HSX	2016/04/21	20160421				24400	26100	22700	0	0	0		0	0	0	0		
EXC	SFG	HSX	2016/04/21	20160421				14700	15700	13700	14600	14800	14600		14660	14700	16740	245460000		
EXC	SFI	HSX	2016/04/21	20160421				30300	32400	28200	30300	30900	30300		30440	30900	470	14310000		
EXC	SGT	HSX	2016/04/21	20160421				4000	4200	3800	3800	3800	3800		3800	3800	500	1900000		
EXC	SHI	HSX	2016/04/21	20160421				10800	11500	10100	10900	11100	10800		10930	10900	1099800	12020600000		
EXC	SHP	HSX	2016/04/21	20160421				18500	19700	17300	18300	18300	18200		18220	18200	5870	106930000		
EXC	SII	HSX	2016/04/21	20160421				22300	23800	20800	23400	23400	22300		23030	22300	30	690000		
EXC	SJD	HSX	2016/04/21	20160421				24900	26600	23200	24400	25000	24400		24750	24500	15070	373050000		
EXC	SJS	HSX	2016/04/21	20160421				20300	21700	18900	20300	20300	19900		20080	20300	88180	1770960000		
EXC	SKG	HSX	2016/04/21	20160421				126000	134000	118000	126000	127000	126000		126090	126000	24380	3074080000		
EXC	SMA	HSX	2016/04/21	20160421				5300	5600	5000	5100	5200	5100		5180	5200	36210	187400000		
EXC	SMC	HSX	2016/04/21	20160421				10500	11200	9800	10500	10500	10500		10500	10500	5000	52500000		
